date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/18/2025,ARKK,TESLA INC,TSLA,88160R101,"2,081,268","$851,072,110.56",12.22%
11/18/2025,ARKK,ROKU INC,ROKU,77543R102,"4,104,064","$397,642,760.96",5.71%
11/18/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"6,981,458","$386,214,256.56",5.55%
11/18/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"1,393,137","$367,718,511.15",5.28%
11/18/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,059,097","$335,873,449.83",4.82%
11/18/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,232,241","$312,357,483.13",4.49%
11/18/2025,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"1,276,279","$306,970,625.08",4.41%
11/18/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"1,739,748","$297,931,845.00",4.28%
11/18/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,535,723","$294,067,796.31",4.22%
11/18/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"2,900,008","$293,683,810.16",4.22%
11/18/2025,ARKK,TERADYNE INC,TER,880770102,"1,170,431","$195,976,966.64",2.81%
11/18/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"8,518,656","$187,580,805.12",2.69%
11/18/2025,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,"2,011,179","$154,036,199.61",2.21%
11/18/2025,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"4,841,228","$149,836,006.60",2.15%
11/18/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"18,862,255","$139,957,932.10",2.01%
11/18/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"536,730","$124,988,315.10",1.79%
11/18/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"7,867,428","$123,518,619.60",1.77%
11/18/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"4,368,450","$115,589,187.00",1.66%
11/18/2025,ARKK,ILLUMINA INC,ILMN,452327109,"912,400","$109,560,992.00",1.57%
11/18/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,610,443","$102,538,201.04",1.47%
11/18/2025,ARKK,NATERA INC,NTRA,632307104,"493,442","$101,668,789.68",1.46%
11/18/2025,ARKK,NVIDIA CORP,NVDA,67066G104,"495,442","$92,449,477.20",1.33%
11/18/2025,ARKK,PAGERDUTY INC,PD,69553P100,"5,981,272","$88,881,701.92",1.28%
11/18/2025,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"315,513","$88,977,821.13",1.28%
11/18/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"2,797,936","$80,636,515.52",1.16%
11/18/2025,ARKK,DEERE & CO,DE,244199105,"166,838","$79,411,551.24",1.14%
11/18/2025,ARKK,BULLISH,BLSH,G16910120,"2,104,752","$77,349,636.00",1.11%
11/18/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"127,579","$76,803,833.79",1.10%
11/18/2025,ARKK,BLOCK INC,XYZ,852234103,"1,299,269","$76,513,951.41",1.10%
11/18/2025,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,905,857","$75,521,667.36",1.08%
11/18/2025,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,"1,115,889","$74,931,946.35",1.08%
11/18/2025,ARKK,BWX TECHNOLOGIES INC,BWXT,05605H100,"415,176","$73,145,707.68",1.05%
11/18/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,667,947","$71,121,260.08",1.02%
11/18/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"17,206,531","$70,890,907.72",1.02%
11/18/2025,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,735,599","$69,788,435.79",1.00%
11/18/2025,ARKK,AIRBNB INC-CLASS A,ABNB,009066101,"564,040","$66,331,104.00",0.95%
11/18/2025,ARKK,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"919,525","$64,587,436.00",0.93%
11/18/2025,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"2,340,436","$63,285,389.44",0.91%
11/18/2025,ARKK,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"364,877","$57,544,751.67",0.83%
11/18/2025,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,"426,623","$48,681,950.53",0.70%
11/18/2025,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"49,027,447","$49,027,446.75",0.70%
11/18/2025,ARKK,GENEDX HOLDINGS CORP,WGS,81663L200,"310,394","$40,211,542.70",0.58%
11/18/2025,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"20,145,620","$31,628,623.40",0.45%
11/18/2025,ARKK,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"4,668,398","$30,904,794.76",0.44%
11/18/2025,ARKK,BRERA HOLDINGS PLC WTS,,BREADUMMY,"4,316,257","$23,782,576.07",0.34%
11/18/2025,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,357,100","$22,080,017.00",0.32%
11/18/2025,ARKK,CERUS CORP,CERS,157085101,"9,840,939","$15,056,636.67",0.22%
11/18/2025,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"230,472","$5,881,645.44",0.08%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above, or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions, and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities, or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2025. ARK ETF Trust. No part of this material may be reproduced in any form or referred to in any other publication without written permission.",,,,,,,
